mes,Bola1,count_MM_bola1,Bola2,count_MM_bola2,Bola3,count_MM_bola3,Bola4,count_MM_bola4,Bola5,count_MM_bola5,Bola6,count_MM_bola6
05,34,1,0,0,0,0,0,0,0,0,0,0
06,1,22,0,0,0,0,0,0,0,0,0,0
06,2,22,0,0,0,0,0,0,0,0,0,0
06,3,21,0,0,0,0,0,0,0,0,0,0
06,4,19,0,0,0,0,0,0,0,0,0,0
06,5,14,0,0,0,0,0,0,0,0,0,0
06,6,11,0,0,0,0,0,0,0,0,0,0
06,7,13,0,0,0,0,0,0,0,0,0,0
06,8,12,0,0,0,0,0,0,0,0,0,0
06,9,14,0,0,0,0,0,0,0,0,0,0
06,10,15,0,0,0,0,0,0,0,0,0,0
06,11,13,0,0,0,0,0,0,0,0,0,0
06,12,10,0,0,0,0,0,0,0,0,0,0
06,13,7,0,0,0,0,0,0,0,0,0,0
06,14,8,0,0,0,0,0,0,0,0,0,0
06,15,5,0,0,0,0,0,0,0,0,0,0
06,16,6,0,0,0,0,0,0,0,0,0,0
06,17,5,0,0,0,0,0,0,0,0,0,0
06,18,4,0,0,0,0,0,0,0,0,0,0
06,19,1,0,0,0,0,0,0,0,0,0,0
06,20,2,0,0,0,0,0,0,0,0,0,0
06,21,1,0,0,0,0,0,0,0,0,0,0
06,22,4,0,0,0,0,0,0,0,0,0,0
06,23,2,0,0,0,0,0,0,0,0,0,0
06,24,4,0,0,0,0,0,0,0,0,0,0
06,25,2,0,0,0,0,0,0,0,0,0,0
06,26,1,0,0,0,0,0,0,0,0,0,0
06,29,1,0,0,0,0,0,0,0,0,0,0
06,31,1,0,0,0,0,0,0,0,0,0,0
06,34,1,0,0,0,0,0,0,0,0,0,0
06,50,1,0,0,0,0,0,0,0,0,0,0
07,1,13,0,0,0,0,0,0,0,0,0,0
07,2,17,0,0,0,0,0,0,0,0,0,0
07,3,19,0,0,0,0,0,0,0,0,0,0
07,4,27,0,0,0,0,0,0,0,0,0,0
07,5,21,0,0,0,0,0,0,0,0,0,0
07,6,13,0,0,0,0,0,0,0,0,0,0
07,7,11,0,0,0,0,0,0,0,0,0,0
07,8,18,0,0,0,0,0,0,0,0,0,0
07,9,12,0,0,0,0,0,0,0,0,0,0
07,10,13,0,0,0,0,0,0,0,0,0,0
07,11,11,0,0,0,0,0,0,0,0,0,0
07,12,5,0,0,0,0,0,0,0,0,0,0
07,13,8,0,0,0,0,0,0,0,0,0,0
07,14,14,0,0,0,0,0,0,0,0,0,0
07,15,3,0,0,0,0,0,0,0,0,0,0
07,16,9,0,0,0,0,0,0,0,0,0,0
07,17,10,0,0,0,0,0,0,0,0,0,0
07,18,4,0,0,0,0,0,0,0,0,0,0
07,19,3,0,0,0,0,0,0,0,0,0,0
07,20,3,0,0,0,0,0,0,0,0,0,0
07,21,2,0,0,0,0,0,0,0,0,0,0
07,22,3,0,0,0,0,0,0,0,0,0,0
07,23,1,0,0,0,0,0,0,0,0,0,0
07,24,2,0,0,0,0,0,0,0,0,0,0
07,25,3,0,0,0,0,0,0,0,0,0,0
07,26,1,0,0,0,0,0,0,0,0,0,0
07,27,2,0,0,0,0,0,0,0,0,0,0
07,28,3,0,0,0,0,0,0,0,0,0,0
07,31,1,0,0,0,0,0,0,0,0,0,0
07,33,1,0,0,0,0,0,0,0,0,0,0
07,36,1,0,0,0,0,0,0,0,0,0,0
07,41,1,0,0,0,0,0,0,0,0,0,0
07,43,1,0,0,0,0,0,0,0,0,0,0
08,1,27,0,0,0,0,0,0,0,0,0,0
08,2,21,0,0,0,0,0,0,0,0,0,0
08,3,24,0,0,0,0,0,0,0,0,0,0
08,4,13,0,0,0,0,0,0,0,0,0,0
08,5,22,0,0,0,0,0,0,0,0,0,0
08,6,20,0,0,0,0,0,0,0,0,0,0
08,7,18,0,0,0,0,0,0,0,0,0,0
08,8,21,0,0,0,0,0,0,0,0,0,0
08,9,14,0,0,0,0,0,0,0,0,0,0
08,10,10,0,0,0,0,0,0,0,0,0,0
08,11,7,0,0,0,0,0,0,0,0,0,0
08,12,6,0,0,0,0,0,0,0,0,0,0
08,13,8,0,0,0,0,0,0,0,0,0,0
08,14,3,0,0,0,0,0,0,0,0,0,0
08,15,9,0,0,0,0,0,0,0,0,0,0
