mes_ano,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
09/2013,1-10,4,,,,,,,,,,
09/2013,11-20,4,,,,,,,,,,
09/2014,1-10,6,,,,,,,,,,
09/2014,11-20,2,,,,,,,,,,
09/2015,1-10,6,,,,,,,,,,
09/2015,11-20,3,,,,,,,,,,
09/2016,1-10,6,,,,,,,,,,
09/2016,11-20,1,,,,,,,,,,
09/2016,21-30,2,,,,,,,,,,
09/2017,1-10,7,,,,,,,,,,
09/2017,11-20,1,,,,,,,,,,
09/2017,21-30,1,,,,,,,,,,
09/2017,31-40,1,,,,,,,,,,
09/2018,1-10,8,,,,,,,,,,
09/2018,11-20,2,,,,,,,,,,
09/2019,1-10,8,,,,,,,,,,
09/2019,11-20,1,,,,,,,,,,
09/2020,1-10,5,,,,,,,,,,
09/2020,11-20,5,,,,,,,,,,
